operating_date,commit_timestamp_utc,schedule_source,dam_pnl_usd,rt_settled_pnl_usd,pf_rt_optimum_usd,capture_rate,pnl_per_mw_day,top_bottom_spread_usd,cycles_used,status,notes
2026-07-10,2026-07-09T22:10:54.098449+00:00,lp,4610.0,5062.7,5691.44,0.81,46.1,26.89,1.0,SETTLED,
2026-07-11,2026-07-10T21:47:49.412997+00:00,lp,4234.67,2015.53,4749.53,0.8916,42.35,25.27,1.0,SETTLED,
2026-07-12,2026-07-11T21:37:20.652008+00:00,lp,4688.12,2516.73,3260.75,1.4377,46.88,29.24,1.0,SETTLED,
2026-07-13,2026-07-12T21:37:13.215758+00:00,lp,2866.78,91.92,1334.39,2.1484,28.67,18.11,1.0,SETTLED,
2026-07-14,2026-07-13T21:41:35.475818+00:00,lp,2749.67,5040.31,5884.0,0.4673,27.5,17.08,1.0,SETTLED,
2026-07-15,2026-07-14T21:43:58.922664+00:00,lp,1529.78,2595.03,3658.53,0.4181,15.3,11.6,1.0,SETTLED,
2026-07-16,2026-07-15T21:44:46.148728+00:00,lp,2768.56,1980.51,3385.94,0.8177,27.69,17.07,1.0,SETTLED,
2026-07-17,2026-07-16T21:52:46.909756+00:00,lp,3394.34,3281.87,6839.83,0.4963,33.94,19.68,1.0,SETTLED,
2026-07-18,2026-07-17T21:39:13.662797+00:00,lp,4688.23,4047.95,5195.97,0.9023,46.88,26.64,1.0,SETTLED,
2026-07-19,2026-07-18T21:37:53.600086+00:00,lp,5997.56,6619.64,10009.39,0.5992,59.98,32.14,1.0,SETTLED,
2026-07-20,2026-07-19T21:38:57.582482+00:00,lp,10960.12,12301.95,12301.94,0.8909,109.6,60.05,1.0,SETTLED,
2026-07-21,2026-07-20T21:54:01.980129+00:00,lp,38945.67,28064.75,28192.17,1.3814,389.46,205.07,1.0,SETTLED,
2026-07-22,2026-07-21T21:51:13.829651+00:00,lp,40906.9,22706.2,33687.19,1.2143,409.07,214.99,1.0,SETTLED,
2026-07-23,2026-07-22T21:53:34.690920+00:00,lp,6443.23,3054.59,3389.11,1.9012,64.43,36.14,1.0,SETTLED,
2026-07-24,2026-07-23T21:53:09.613556+00:00,lp,3510.23,1739.03,1816.25,1.9327,35.1,21.14,1.0,SETTLED,
2026-07-25,2026-07-24T21:52:03.993310+00:00,lp,5709.0,5700.92,7067.81,0.8077,57.09,32.44,1.0,SETTLED,
2026-07-26,2026-07-25T21:42:04.626385+00:00,lp,5922.67,5253.28,5373.44,1.1022,59.23,34.12,1.0,SETTLED,
2026-07-27,2026-07-26T21:45:33.196505+00:00,lp,8603.12,4061.81,4818.0,1.7856,86.03,48.6,1.0,SETTLED,
2026-07-28,2026-07-27T21:55:05.979104+00:00,lp,8585.56,5902.03,5979.75,1.4358,85.86,49.09,1.0,SETTLED,
2026-07-29,2026-07-28T21:53:15.162777+00:00,lp,9243.45,5051.39,5118.08,1.806,92.43,53.13,1.0,SETTLED,
2026-07-30,2026-07-29T21:44:02.643788+00:00,lp,8067.56,5162.31,5528.25,1.4593,80.68,44.5,1.0,SETTLED,
2026-07-31,2026-07-30T21:55:12.782408+00:00,lp,16314.45,6438.5,9302.67,1.7537,163.14,84.12,1.0,SETTLED,
2026-08-01,2026-07-31T21:53:57.322309+00:00,lp,11091.89,3941.89,6196.53,1.79,110.92,58.14,1.0,SETTLED,
2026-08-02,2026-08-01T21:41:37.861496+00:00,lp,12752.23,5465.56,6246.78,2.0414,127.52,66.92,1.0,SETTLED,
2026-08-03,2026-08-02T21:42:04.792310+00:00,lp,6443.45,3475.06,3600.67,1.7895,64.43,34.16,1.0,SETTLED,
2026-08-04,2026-08-03T21:55:28.789025+00:00,lp,6769.34,7303.31,7573.25,0.8938,67.69,36.35,1.0,SETTLED,
2026-08-05,2026-08-04T22:03:06.954837+00:00,lp,5086.56,6770.59,9534.75,0.5335,50.87,28.02,1.0,SETTLED,
2026-08-06,2026-08-05T22:02:40.709391+00:00,lp,5004.78,7924.92,10120.42,0.4945,50.05,27.15,1.0,SETTLED,
2026-08-07,2026-08-07T00:59:29.202661+00:00,lp,5746.11,9399.56,17664.81,0.3253,57.46,31.35,1.0,SETTLED,
2026-08-08,2026-08-07T21:25:45.485488+00:00,lp,4444.45,4782.25,16691.53,0.2663,44.44,24.54,1.0,SETTLED,
2026-08-09,2026-08-08T21:17:25.095503+00:00,lp,5723.23,6668.81,7572.56,0.7558,57.23,31.23,1.0,SETTLED,
2026-08-10,2026-08-09T21:19:22.614239+00:00,lp,5157.67,1111.36,1650.17,3.1255,51.58,28.85,1.0,SETTLED,
2026-08-11,2026-08-10T21:29:12.280059+00:00,lp,5376.23,8627.61,10890.58,0.4937,53.76,29.33,1.0,SETTLED,
